GLOSS,CONCEPTICON_ID
"liver",1224
"warm",1232
"nine",1483
"to wash",1453
"long",1203
"naked",590
"out",1107
"name",1405
"goose",1187
"hound",2009
"father",1217
"is",1579
"cold",1287
"night",1233
"two",1498
"ten",1515
"to drink",1401
"GLOSS",CONCEPTICON_ID
"ear",1247
"to fight",1423
"fast",1631
"horn",939
"to swear",1939
"seven",1704
"holy",1702
"salt",1274
"earth",1228
"lamb",820
"calf",1989
"honey",942
"wool",964
"green",1425
"snow",784
"three",492
"toe",1389
"hand",1277
"hunger",1864
"six",1703
"young",564
"mouth",674
"foot",1301
"eye",1248
"fish",227
"oven",1143
"eight",1705
"head",1256
"thing",738
"sore",51
"home",2406
"tear",1651
"heart",1223
"tongue",1205
"to sit",1416
"house",1252
"white",1335
"top",1753
"new",1231
"oak",644
"what",1236
"blood",946
"rain",658
"tooth",1380
"to hear",1408
"over",1741
"to eat",1336
"mouse",1491
"all",98
"needle",1382
"right",1019
"daughter",1357
"sharp",1396
"red",156
"bath",
"moon",1313
"storm",858
"bone",1394
"hundred",1634
"day",1225
"to bite",1403
"yard",736
"corn",605
"cow",1007
"full",1429
"four",1500
"leaf",628
"stool",2058
"good",1035
"five",493
"thunder",1150
"word",1599
"mother",1216
"wind",960
"brother",1262
"I",1209
"ring",1374
"to see",1409
"thorn",124
"nail",502
"ash",646
"knee",1371
"stone",857
"year",1226
"quick",1631
"one",1493
"milk",635
"open",1156
"ice",617
"mid",1093
"better",
"north",1598
"in",1460
