ID,NAME,GLOTTOCODE
,Shanghai,wuch1236
,Suzhou,wuch1236
,Hangzhou,wuch1236
,Wenzhou,wuch1236
,Guangzhou,yuec1235
,Nanning,yuec1235
,Xianggang,yuec1235
,Xiamen,minn1241
,Fuzhou,mind1235
,Jian’ou,minb1244
,Shantou,minn1241
,Haikou,
,Taibei,minn1241
,Meixian,hakk1236
,Taoyuan,hakk1236
,Nanchang,ganc1239
,Changsha,xian1251
,Xiangtan,xian1251
,Shexian,huiz1242
,Tunxi,huiz1242
,Taiyuan,jiny1235
,Pingyao,jiny1235
,Huhehaote,jiny1235
,Beijing,mand1415
,Tianjin,mand1415
,Jinan,mand1415
,Qingdao,mand1415
,Nanjing,mand1415
,Hefei,mand1415
,Zhengzhou,mand1415
,Wuhan,mand1415
,Chengdu,mand1415
,Guiyang,mand1415
,Kunming,mand1415
,Haerbin,mand1415
,Xi’an,mand1415
,Yinchuan,mand1415
,Lanzhou,mand1415
,Xining,mand1415
,Wulumuqi,mand1415
