NAME,ABBREVIATION,GLOTTOCODE,LONGITUDE,LATITUDE,ISO
Beijing,B,mand1415,116.1172766,39.9385466,cmn
Changsha,C,xian1251,112.943344,28.85032,hsn
Shuangfeng,F,xian1251,111.916486,27.4569781,hsn
Guangzhou,G,yuec1235,112.9476548,23.1253503,yue
Shanghai,H,taih1244,121.475372,31.222902,(wuu)
Meixian,M,hakk1236,115.8903375,24.3522958,hak
Nanchang,N,ganc1239,115.857468,28.706609,gan
Suzhou,S,taih1244,120.364116,31.3280439,(wuu)
Xiamen,X,minn1241,118.08918,24.49421,nan
Yingshan,Y,mand1415,115.3468074,30.7462984,cmn
