ID,NAME,GLOTTOCODE,GLOTTOLOG_NAME
,"Guarijío",,
,"Pahkannil_(Tübatulabal)",tuba1278,
,"Classical_Nahuatl",clas1250,
,"Western_Shoshone",west2622,
,"Chemehuevi",chem1251,
,"Pima_Bajo",pima1248,
,"S_Tepehuan",sout2975,
,"Southern_Paiute",sout2969,
,"Western_Mono",mono1275,
,"Southern_Ute",utee1244,
,"Kawaiisu",kawa1283,
,"Tongva_(Gabrielino)",tong1329,
,"Tohono_O'odham",toho1245,
,"Pochutla_Mexicano",poch1244,
,"Ópata",opat1246,
,"Northern_Paiute",nort2954,
,"Wixarika_(Huichol)",huic1243,
,"Mayo",mayo1264,
,"Zuni",zuni1245,
,"Rarámuri",,
,"N_Tepehuan",nort2959,
,"Acjachemen_(Juaneño)",,
,"Tetelcingo_Mexicano",tete1251,
,"Cahuilla",cahu1264,
,"Ipai",,
,"Serrano",serr1255,
,"Kitanemuk",,
,"Orayvi_Hopi",hopi1249,
,"Cora",cora1260,
,"Comanche",coma1245,
,"Pipil",pipi1250,
,"Tewa",,
,"Tubar",tuba1279,
,"Big_Smokey_Valley_Shoshone",,
,"Tümpisa_Shoshone_(Panamint,Koso)",pana1305,
,"Arizona_Yoeme_(Yaqui)",yaqu1251,
,"Eudeve",eude1234,
,"Cupeño",cupe1243,
,"Luiseño",luis1253,
,"Shoshone",shos1248,
